node_label,is_feature_based,graph_type,parameter,laplacian_type,number_of_eigenvectors,use_kmean_for_silhouette,silhouette_score,rand_index,total_time,affinity_time,laplacian_time,clustering_time,adjusted_rand_index_time,memory_used,cpu_used
iris_33,True,full,5,sym,3,False,0.518458550940038,0.5806451612903226,4618.503916,1357.844375,414.346792,2618.520959,224.702625,-135.921664,48.85
iris_33,True,full,5,rw,3,False,0.5142268444868442,0.8236968050704954,2861.292,232.568041,255.275666,2143.709208,229.217875,-86.786048,27.2
iris_33,True,full,5,ad,3,False,0.509421546992658,0.6656318716854224,2714.9085,263.2895,185.878792,2037.518916,227.752792,-176.553984,21.85
iris_33,True,eps,1.138,sym,3,False,0.2707105116698875,0.1529423479040128,2427.125958,180.311958,244.345458,1784.230416,217.766708,62.521344,24.7
iris_33,True,eps,1.138,rw,3,False,0.12296114471630894,0.2767667303326246,2788.834042,410.932042,180.020958,1978.542625,218.801667,1.900544,23.25
iris_33,True,eps,1.138,ad,3,False,0.2707105116698875,0.1529423479040128,2459.131584,187.292875,199.031625,1848.934375,223.439209,-19.41504,20.65
iris_33,True,knn,8,sym,3,False,0.4813444036156274,0.6900050735667174,2229.942709,103.836458,127.145416,1775.127875,223.309291,-220.741632,25.3
iris_33,True,knn,8,rw,3,False,0.32280490728849487,0.5508873047171242,2336.017292,113.749625,112.259791,1887.249916,222.334208,150.274048,25.6
iris_33,True,knn,8,ad,3,False,0.4813444036156274,0.6900050735667174,2162.028667,100.774916,111.03525,1731.33175,218.448083,20.447232,28.55
iris_33,True,mknn,6,sym,3,False,0.632815648926268,0.5607476635514019,2541.750375,274.429541,207.199875,1846.061166,213.4465,-29.884416,30.6
iris_33,True,mknn,6,rw,3,False,0.15917107120906868,0.41349560930519186,2240.448875,98.294583,88.043667,1837.187333,216.415875,-142.802944,32.2
iris_33,True,mknn,6,ad,3,False,0.26486829645327953,0.6278303300089886,2205.027917,91.72075,103.933666,1782.476791,226.58925,20.758528,28.6
iris_66,True,full,5,sym,3,False,0.4762700219956754,0.7847621932747653,4367.721333,265.90725,394.410916,3492.010292,214.986541,64.520192,22.9
iris_66,True,full,5,rw,3,False,0.3727202064129596,0.8295059151009047,4452.428833,286.873625,425.894125,3516.4135,222.823666,4.702208,21.7
iris_66,True,full,5,ad,3,False,0.4456426254972349,0.8023496428809826,4696.990375,634.962417,322.030542,3526.389375,213.291542,156.024832,22.15
iris_66,True,eps,0.904,sym,3,False,0.2776305431692922,0.6525276056469272,4194.06525,180.576458,775.641667,3021.194166,216.236,-115.965952,19.9
iris_66,True,eps,0.904,rw,3,False,0.17752876732964606,0.9087069929201342,4351.682,486.4485,667.934625,2973.032,223.9235,62.603264,44.4
iris_66,True,eps,0.904,ad,3,False,0.26349889786291825,0.4602426944493671,4313.087166,461.693084,666.9725,2959.881917,224.164459,-70.582272,21.3
iris_66,True,knn,16,sym,3,False,0.4831632661866875,0.9695393119805663,3768.644666,174.40075,251.743167,3120.008292,222.015084,-31.342592,25.0
iris_66,True,knn,16,rw,3,False,0.18871972591552785,0.4904615844991397,3745.228625,218.575417,236.214416,3067.191666,222.929125,198.361088,20.9
iris_66,True,knn,16,ad,3,False,0.12346055761918102,0.5663716814159292,3505.209292,179.24775,242.282625,2857.648,225.688542,-149.045248,18.8
iris_66,True,mknn,15,sym,3,False,0.4956357884103086,0.8840635017554571,3729.227667,151.556584,189.112917,3164.827708,223.24175,-196.132864,21.95
iris_66,True,mknn,15,rw,3,False,0.504518865049383,0.7847621932747653,3498.288083,159.873291,205.901042,2919.410917,212.740125,-34.291712,27.1
iris_66,True,mknn,15,ad,3,False,0.4052579134669107,0.6379118671935577,3463.967875,158.54075,209.686541,2879.712625,215.70475,43.4176,20.7
iris_full,True,full,11,sym,3,False,0.5055000468668748,0.7880443567941549,6479.064041,274.192416,923.702417,5049.952209,230.921875,-41.222144,21.9
iris_full,True,full,11,rw,3,False,0.4797334464081528,0.8647830351074957,7464.789875,1875.357333,912.905708,4452.209666,223.869583,84.312064,23.05
iris_full,True,full,11,ad,3,False,0.46741633379813663,0.9204024125176882,6810.812792,375.375708,1044.307792,5146.015666,244.678333,-143.867904,25.65
iris_full,True,eps,1.111,sym,3,False,0.08979073440622296,0.23236809379996445,5758.957042,240.326583,873.292,4425.362667,219.588709,-30.834688,26.8
iris_full,True,eps,1.111,rw,3,False,0.21218090091931202,0.6527912692219905,5671.851375,372.917625,920.746958,4153.735417,223.933542,-105.398272,79.25
iris_full,True,eps,1.111,ad,3,False,0.0886029251500464,0.244822463662579,6322.003209,1605.671083,991.862209,3499.508458,224.51275,-24.395776,77.15
iris_full,True,knn,10,sym,3,False,0.47514077006743444,0.97993200471804,4791.89,196.722083,336.624417,4042.064542,216.056666,-87.949312,24.7
iris_full,True,knn,10,rw,3,False,0.492123523156286,0.40117429118653647,5251.715666,242.491875,323.437084,4462.423041,222.946291,55.78752,21.7
iris_full,True,knn,10,ad,3,False,0.47514077006743427,0.97993200471804,5076.653875,233.98975,337.153458,4280.176375,224.887541,-73.367552,19.35
iris_full,True,mknn,30,sym,3,False,0.506643901136835,0.5806226037796237,5249.545708,349.339584,598.687792,4078.514,222.523875,51.560448,18.65
iris_full,True,mknn,30,rw,3,False,0.4988145232282682,0.7368687823578868,5825.321958,378.686916,601.450041,4633.22425,211.498333,5.095424,25.8
iris_full,True,mknn,30,ad,3,False,0.47851853903298197,0.9406150828466999,5537.354666,384.465708,591.7625,4339.345958,221.41675,-134.692864,25.35
