node_label,is_feature_based,laplacian_type,number_of_eigenvectors,use_kmean_for_silhouette,silhouette_score,rand_index,total_time,affinity_time,laplacian_time,clustering_time,adjusted_rand_index_time,memory_used,cpu_used
citeseer,False,sym,6,True,0.6213422957524163,0.015934734913958054,700419.770208,742.46375,536236.839416,162556.077625,882.6305,409.141248,27.549999999999997
citeseer,False,rw,6,True,0.9391537350018979,-0.0005830685107247707,657604.712541,826.094417,517475.940084,138422.057916,879.988375,-312.5248,12.6
citeseer,False,ad,6,True,0.6372640210693106,0.005063429932181262,704162.701375,967.007375,533200.287459,169078.637917,916.078458,70.631424,13.6
